month,weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,2,1088.425,978.4375,962.6,907.0675,959.2925,1047.075,1355.33,1726.28,2212.805,2057.95,1835.325,1768.4375,1351.6925,1404.495,1582.515,1730.3125,1747.4075,1741.055,1733.29,1826.555,1875.255,1779.36,1469.69,1307.695,
4,3,1105.0675,982.2025,948.8325,910.5025,941.305,997.31,1284.15,1605.3425,1989.7425,1963.4925,1809.205,1697.9425,1362.64,1386.455,1555.375,1657.3075,1790.4625,1850.6275,1815.5275,1854.58,1874.08,1754.8275,1465.9275,1296.055,
4,4,1090.0725,966.8575,936.515,908.5175,951.0575,1014.2375,1269.4025,1637.1475,2121.3825,2102.3875,2065.9075,2045.2225,1588.0475,1547.2475,1692.425,1798.9025,1850.4,1835.345,1742.2075,1876.0825,1870.7475,1717.1925,1435.9225,1289.1075,
4,5,1102.495,1039.525,985.82,945.84,922.8475,956.265,1129.9425,1293.445,1507.89,1585.5875,1573.355,1547.1425,1359.49,1284.36,1297.35,1283.6325,1353.475,1461.6975,1661.0025,1805.2025,1804.76,1660.0525,1446.5525,1330.9625,
4,6,1137.9675,1025.375,961.9475,936.47,929.29,950.9525,1062.3725,1185.1925,1304.4925,1418.0475,1405.5925,1432.9975,1279.0625,1180.725,1126.8075,1082.6075,1099.495,1236.835,1474.545,1712.7075,1832.8075,1731.1925,1467.19,1234.53,
5,0,1037.485,957.375,949.725,908.65,968.81,1027.6575,1215.3075,1456.13,2009.2675,1999.3525,1890.615,1827.795,1430.54,1459.1175,1634.4125,1718.6075,1803.655,1696.8775,1608.7375,1608.805,1691.6375,1691.715,1426.2075,1237.3,
5,1,1029.04,933.3325,905.44,893.895,956.09,999.7425,1236.2525,1510.6,2048.615,1939.2125,1761.6825,1820.35,1416.5325,1513.8175,1816.2925,1883.0775,1960.5875,1940.8875,1788.32,1738.1775,1760.665,1703.3375,1413.245,1227.96,
5,2,1035.248,937.53,923.618,879.954,934.522,1018.702,1200.866,1430.558,1885.526,1866.636,1787.836,1811.306,1420.26,1452.548,1690.82,1735.06,1872.106,1779.698,1664.998,1726.864,1786.63,1694.916,1428.244,1244.48,
5,3,1025.82,929.298,913.12,877.878,946.892,1015.572,1206.466,1495.71,2106.186,2037.88,1965.004,1975.406,1470.604,1523.108,1891.904,1954.694,1997.848,1961.386,1774.392,1753.208,1791.064,1696.79,1415.698,1239.612,
5,4,1040.582,941.06,909.088,872.43,928.654,992.744,1221.674,1508.256,2152.428,2186.312,2146.17,2131.776,1656.15,1680.704,1912.324,1922.154,1953.838,1915.83,1788.64,1768.088,1775.372,1701.524,1462.874,1286.752,
5,5,1107.5425,1013.7525,962.115,931.9525,946.1575,978.985,1102.6325,1191.555,1354.755,1388.73,1292.285,1285.305,1154.36,1116.1525,1152.2175,1213.5175,1282.425,1393.95,1551.5625,1697.1,1733.625,1685.305,1488.925,1373.645,
5,6,1151.4775,1047.205,956.2175,929.0725,919.535,949.7225,981.77,1060.2925,1167.09,1241.635,1225.68,1224.06,1101.55,1062.9725,1074.23,1105.0275,1148.6475,1258.305,1466.32,1659.5575,1760.61,1728.9925,1477.9425,1245.1025,
6,0,1053.77,946.36,946.605,943.7425,952.4825,994.5425,1105.5425,1320.8425,1887.0775,1881.3225,1774.5775,1734.37,1309.69,1408.6375,1594.535,1667.325,1676.62,1615.39,1505.7275,1475.9225,1516.7925,1566.5125,1366.9125,1231.6675,
6,1,1058.0125,942.345,930.8425,887.5425,929.48,991.995,1122.3175,1339.2725,1839.085,1791.3075,1656.02,1693.5075,1297.9775,1349.2575,1634.5525,1727.48,1879.655,1908.2125,1661.2625,1554.105,1525.255,1568.0125,1345.7675,1231.2925,
6,2,1019.585,930.5825,902.8625,864.9425,909.2875,989.745,1135.8875,1337.5825,1870.5275,1756.82,1708.3325,1673.48,1290.175,1323.8225,1531.2475,1607.745,1688.39,1698.5175,1618.05,1553.295,1528.3025,1559.775,1367.09,1238.87,
6,3,1050.4975,942.0225,941.9225,898.9625,948.6325,984.7675,1134.8025,1354.6175,1891.645,1889.835,1737.0425,1701.2725,1350.755,1367.73,1638.335,1737.275,1779.1925,1801.975,1671.125,1605.9275,1581.485,1584.42,1348.6675,1253.0275,
6,4,1051.4075,932.925,920.8875,896.9725,919.3275,1005.9225,1186.1725,1458.445,1903.2725,1907.0825,1861.5675,1861.995,1418.13,1411.905,1608.3875,1637.04,1705.49,1659.0325,1609.21,1560.4775,1561.3075,1597.685,1393.7425,1277.4125,
6,5,1060.852,993.944,920.414,903.236,913.066,957.434,1027.87,1086.712,1228.586,1250.94,1200.208,1211.826,1085.358,1066.65,1098.388,1130.398,1168.434,1228.716,1370.362,1462.414,1487.486,1517.686,1368.116,1261.78,
6,6,1081.658,978.772,907.306,876.538,876.974,917.018,931.494,1004.81,1076.786,1109.458,1077.258,1106.618,1042.998,1010.982,1023.522,1030.818,1071.59,1162.04,1358.67,1510.082,1602.574,1649.894,1430.08,1185.064,
7,0,1046.602,971.482,930.546,888.598,957.3,982.056,1106.13,1349.432,1819.0,1801.42,1816.816,1811.846,1496.384,1493.48,1680.594,1635.132,1675.122,1695.118,1614.038,1590.718,1556.336,1550.048,1358.668,1267.132,
7,1,1059.66,943.276,929.786,903.08,956.922,1015.002,1146.28,1354.576,1835.18,1821.75,1715.708,1675.972,1325.306,1348.854,1503.83,1654.462,1727.206,1681.142,1596.166,1543.914,1511.63,1552.038,1376.472,1272.132,
7,2,1079.038,978.93,1004.562,954.13,1001.728,1049.292,1186.922,1452.1,2027.186,1994.638,1868.822,1830.132,1477.876,1493.816,1720.4,1774.688,1829.04,1840.216,1655.996,1600.806,1585.814,1587.942,1371.948,1270.05,
7,3,1039.31,960.9875,942.18,906.6,968.005,1015.4325,1195.675,1450.3775,1877.165,1823.4,1727.5175,1741.1525,1396.07,1452.995,1656.935,1731.295,1864.8775,1872.4725,1638.72,1621.79,1568.925,1553.8825,1374.1825,1276.9975,
7,4,1097.6475,969.4025,970.985,936.0075,977.1175,1017.4325,1175.09,1382.71,1819.4225,1875.08,1771.765,1740.855,1407.9925,1433.7025,1575.285,1682.165,1783.275,1741.8825,1622.3575,1585.44,1548.8575,1556.0675,1385.16,1304.45,
7,5,1103.17,1000.6725,960.3875,919.8725,918.495,949.8,1031.465,1070.095,1228.4725,1258.6475,1236.0575,1210.425,1103.01,1032.0775,1037.0375,1070.745,1186.245,1249.105,1392.1225,1524.87,1510.4725,1505.9525,1361.5,1307.2225,
7,6,1116.28,1020.025,984.515,948.6675,937.0875,938.875,985.6025,1053.985,1151.55,1177.4975,1093.0525,1112.1425,1064.815,989.6725,950.885,987.17,1044.0825,1165.2325,1325.8525,1526.49,1590.9425,1630.585,1499.7175,1272.3225,
8,0,1136.565,1013.1625,1015.805,984.0,988.9775,999.2225,1148.735,1262.36,1546.7325,1531.455,1494.5675,1468.5575,1312.5425,1264.92,1321.0475,1430.425,1473.4175,1534.29,1653.8225,1637.45,1670.4675,1645.7975,1468.0075,1350.485,
8,1,1126.435,1028.875,998.6875,969.4375,975.07,1004.755,1154.24,1285.0325,1574.64,1568.37,1516.6125,1484.2175,1296.6275,1273.205,1330.935,1400.0075,1507.41,1586.45,1682.03,1721.405,1692.14,1647.1325,1451.435,1354.9425,
8,2,1152.3975,1053.6925,1021.9525,982.0025,990.6725,1022.62,1152.45,1218.1775,1485.1725,1532.1825,1428.4925,1380.53,1223.9625,1166.5025,1146.815,1241.005,1307.365,1425.77,1491.075,1565.1825,1584.07,1595.9225,1455.535,1338.0475,
8,3,1098.544,1012.782,970.558,924.718,972.952,1006.424,1161.322,1394.94,1710.86,1711.966,1640.854,1612.244,1435.736,1372.656,1438.66,1493.362,1544.212,1598.39,1697.386,1734.89,1692.73,1680.066,1462.962,1312.744,
8,4,1077.952,964.024,954.824,924.676,959.374,995.918,1159.106,1296.216,1617.488,1595.924,1491.166,1467.98,1258.704,1249.282,1323.416,1390.742,1479.792,1570.904,1657.584,1655.096,1616.02,1655.58,1457.344,1317.18,
8,5,1113.444,1007.908,1006.692,962.794,955.804,987.852,1065.684,1155.68,1335.592,1362.242,1325.362,1274.25,1163.352,1111.278,1165.168,1219.444,1286.27,1355.344,1535.786,1630.834,1657.516,1665.504,1442.15,1318.212,
8,6,1082.4575,1001.2725,959.9375,931.04,934.345,940.635,1067.8725,1216.9725,1324.715,1293.995,1256.0,1259.265,1168.51,1180.675,1188.6525,1231.8975,1306.8475,1419.235,1588.2725,1712.0625,1729.22,1761.5,1579.9325,1330.445,
9,0,1027.7,957.914,956.904,923.832,984.14,1024.942,1255.27,1743.522,2113.554,2048.856,1879.896,1771.398,1415.894,1454.082,1655.794,1756.768,1781.134,1861.268,1837.146,1970.374,1878.844,1701.802,1416.908,1266.4,
9,1,1071.02,985.5425,962.31,938.6575,1031.4325,1066.82,1296.915,1824.5875,2211.835,2048.86,1922.5325,1849.2175,1415.1925,1417.55,1632.6625,1757.795,1847.7725,1935.24,1870.42,2034.15,1849.9175,1699.515,1437.435,1273.4725,
9,2,1058.7075,957.915,980.265,939.5675,945.5825,969.5725,1255.7475,1838.4275,2208.765,2059.83,1839.5075,1757.47,1400.85,1458.535,1694.5825,1736.7925,1797.1175,1868.3975,1789.1975,1990.1875,1870.94,1707.3675,1413.6825,1281.0175,
9,3,1067.2325,967.3675,994.1125,936.9975,967.2775,991.055,1233.8525,1778.225,2089.5975,2006.9125,1746.4775,1636.4375,1317.015,1290.5125,1435.2975,1544.765,1783.4775,1855.385,1795.93,1972.39,1866.7625,1661.65,1452.6975,1252.9175,
9,4,1053.3425,991.69,958.58,940.3775,961.305,993.0975,1257.3725,1813.33,2165.1875,2114.8225,1889.41,1818.1225,1421.5475,1488.3025,1587.01,1728.675,1790.1725,1874.52,1849.9425,2045.7875,1933.0375,1731.9,1511.2275,1305.9925,
9,5,1119.5075,1014.0225,948.2775,969.6925,939.5525,974.6725,1100.855,1368.9575,1599.535,1581.0875,1493.6275,1429.1175,1300.76,1207.3775,1228.2725,1307.1975,1374.1025,1541.7475,1697.6925,1894.4375,1766.435,1625.9675,1420.565,1316.6525,
9,6,1137.106,1024.196,960.666,963.52,948.468,982.994,1029.896,1174.81,1270.126,1339.446,1371.034,1357.164,1306.198,1286.85,1282.964,1220.536,1243.27,1334.442,1619.772,1846.576,1792.864,1674.218,1435.004,1232.69,
10,0,1005.2575,946.5775,905.38,896.515,924.3375,945.15,1228.1375,1657.9175,2163.835,2313.02,2178.4275,2130.375,1625.665,1657.7425,1862.165,2012.2075,2157.615,2184.04,1975.155,2043.7025,1874.72,1663.14,1391.775,1235.2825,
10,1,1032.946,964.366,937.316,923.332,959.626,967.73,1262.328,1738.434,2235.306,2330.5,2242.698,2179.356,1742.002,1652.31,1926.252,2035.126,2177.638,2130.576,1969.9,2025.792,1901.122,1707.96,1417.184,1238.188,
10,2,1025.554,970.766,911.246,908.606,955.388,968.024,1235.596,1735.422,2232.406,2326.11,2144.674,2016.228,1520.58,1525.098,1822.874,1911.36,1990.152,2138.49,1976.854,2009.798,1882.324,1680.004,1382.302,1216.708,
10,3,1028.192,944.886,893.888,886.726,934.218,949.012,1228.746,1677.772,2220.218,2274.184,2167.004,2036.216,1501.102,1556.282,1765.24,1855.16,1943.93,2103.89,1985.982,2025.918,1910.762,1696.004,1433.11,1269.508,
10,4,1046.73,971.3725,983.365,943.8075,955.835,1015.3475,1298.375,1825.245,2299.795,2280.425,2066.4375,1879.685,1442.3875,1496.0825,1619.725,1727.4,1883.565,1947.8525,1882.765,2063.0075,1893.5725,1726.5625,1451.53,1290.7125,
10,5,1061.7625,1021.3625,921.85,926.3975,898.2825,952.5525,1088.875,1329.2525,1651.0675,1702.9025,1619.6225,1542.52,1346.8475,1254.1575,1288.395,1292.97,1429.27,1589.6775,1918.065,1948.7675,1810.8725,1614.8175,1404.7825,1302.5725,
10,6,1100.245,996.1825,931.2225,891.1425,864.0375,924.135,985.095,1198.145,1341.28,1444.18,1459.86,1526.425,1406.995,1381.685,1374.4225,1350.4725,1419.335,1630.4525,1917.42,1943.9125,1847.805,1667.185,1423.3025,1175.4725,
11,0,986.595,901.685,889.0375,870.86,913.0875,978.7025,1281.2375,1651.695,2202.5625,2196.2325,2096.91,2082.5775,1656.91,1722.89,2068.925,2267.95,2450.1425,2398.9975,2114.07,1972.1625,1847.8,1663.8125,1400.2075,1241.085,
11,1,1034.55,930.045,913.795,904.3525,915.4375,1013.01,1332.1275,1713.9625,2283.9475,2324.66,2149.6625,2004.715,1528.785,1590.8825,1951.2275,2205.5925,2454.8975,2517.43,2201.2625,2012.54,1889.44,1709.445,1441.0525,1279.9275,
11,2,1058.2475,948.18,922.5425,927.35,979.625,1046.3175,1332.5825,1712.4575,2225.01,2178.835,2031.7725,1909.7975,1486.9275,1543.51,1973.5125,2187.65,2452.2475,2457.8425,2149.9625,2051.605,1903.565,1679.3325,1392.335,1244.46,
11,3,1030.595,917.5875,915.615,930.3875,928.5075,1009.715,1321.3675,1720.35,2362.5325,2427.06,2229.135,2176.065,1664.1775,1699.21,2118.62,2342.6125,2536.0925,2525.41,2190.9875,2030.8625,1868.8225,1699.8175,1420.215,1286.32,
11,4,1072.734,968.68,938.354,913.156,941.694,1024.082,1289.61,1665.378,2166.828,2253.718,2119.718,2054.742,1618.614,1649.61,1935.152,2078.898,2266.666,2316.596,2110.51,1998.82,1844.626,1669.052,1412.754,1262.884,
11,5,1078.934,984.278,918.854,915.628,905.568,958.092,1118.484,1364.582,1659.86,1798.856,1799.124,1769.134,1579.732,1519.32,1579.37,1616.44,1807.188,1935.41,2019.03,1924.436,1773.44,1601.544,1397.47,1314.71,
11,6,1088.695,976.78,897.5975,896.7875,865.9625,923.43,1028.335,1224.315,1348.34,1500.935,1537.4575,1596.57,1471.83,1383.8625,1352.5975,1364.205,1519.4175,1748.93,1912.86,1896.5525,1819.9025,1645.1675,1397.385,1166.985,
12,0,1232.71,1131.772,1093.02,1062.72,1094.7,1154.89,1458.018,1885.724,2349.818,2390.804,2217.538,2058.012,1637.168,1644.032,1928.304,2138.654,2426.958,2552.966,2460.632,2484.926,2313.794,2093.506,1788.622,1603.026,
12,1,1354.09,1217.468,1141.024,1102.228,1132.926,1195.936,1533.75,1918.288,2293.848,2324.158,2141.352,2054.046,1669.31,1666.012,1985.488,2199.312,2473.686,2601.532,2480.718,2447.152,2211.52,2005.192,1762.2,1631.83,
12,2,1274.1375,1134.71,1089.4725,1064.315,1083.46,1157.575,1467.49,1846.225,2326.095,2381.88,2256.1475,2150.305,1671.6175,1680.495,1942.695,2126.2825,2398.575,2485.5725,2381.7875,2345.05,2207.3375,1986.895,1710.975,1485.085,
12,3,1243.22,1127.555,1120.705,1091.4225,1109.01,1180.6225,1499.6425,1892.585,2333.105,2423.02,2343.45,2279.57,1872.215,1873.125,2160.155,2273.1175,2498.5025,2541.4425,2426.445,2376.7625,2191.6575,2013.355,1736.5125,1517.655,
12,4,1284.6975,1171.155,1125.015,1081.695,1116.0675,1199.6725,1493.025,1913.36,2367.8175,2443.11,2334.6,2192.12,1712.835,1749.09,2013.515,2243.09,2494.0825,2572.105,2468.8,2417.2425,2265.4825,2091.35,1752.775,1589.08,
12,5,1330.915,1217.865,1141.7125,1116.4175,1127.2775,1161.51,1332.585,1555.92,1893.71,2017.3025,1937.545,1871.4575,1685.9225,1645.235,1752.4225,1871.3025,2122.2925,2345.87,2458.0525,2385.145,2178.1875,1991.945,1724.615,1589.0725,
12,6,1332.022,1171.304,1082.954,1058.206,1051.286,1105.614,1251.432,1442.94,1724.752,1839.266,1829.522,1822.598,1704.506,1640.036,1692.276,1772.61,2000.446,2208.608,2352.888,2380.35,2248.824,2064.238,1760.554,1477.842,
